Horodateur,Q1. Quel est votre rôle principal dans les projets Agile ?,Q2. Années d’expérience professionnelle,Q3. Années d’expérience en Agile,Q4. Taille de votre organisation,Q5. Secteur d’activité,Q6. Type d’organisation,Q7. Niveau de maturité Agile dans votre organisation,Q8. Localisation principale de votre équipe,Q9. Taille typique de votre équipe Agile,Q10. Domaine principal de vos projets Agile,Q11. Notre équipe Agile utilise des outils d’IA dans les activités quotidiennes du projet.,Q12. Nombre d’outils d’IA distincts utilisés par l’équipe,"Q13. L’utilisation de l’IA est intégrée dans des processus formalisés (procédures, règles, documentation).",Q14. L’utilisation de l’IA est principalement :,Q15. Les résultats produits par l’IA sont revus / validés avant leur utilisation.,"Types d’outils d’IA utilisés (Niveau d’intensité/étendue d’usage) [Q16. IA générative (LLM, assistants conversationnels)]","Types d’outils d’IA utilisés (Niveau d’intensité/étendue d’usage) [Q17. Machine learning prédictif (prévisions, estimation, risques)]",Types d’outils d’IA utilisés (Niveau d’intensité/étendue d’usage) [Q18. Outils d’aide à la décision / recommandations],"Types d’outils d’IA utilisés (Niveau d’intensité/étendue d’usage) [Q19. Outils NLP (analyse de tickets, exigences, feedback)]",Types d’outils d’IA utilisés (Niveau d’intensité/étendue d’usage) [Q20. Génération de code / assistants de développement],Types d’outils d’IA utilisés (Niveau d’intensité/étendue d’usage) [Q21. Génération ou automatisation de tests / QA],Types d’outils d’IA utilisés (Niveau d’intensité/étendue d’usage) [Q22. Tableaux de bord analytiques prédictifs],Types d’outils d’IA utilisés (Niveau d’intensité/étendue d’usage) [Q23. Automatisation des workflows / bots],"Intégration de l’IA selon les phases Agile (Fréquence d'utilisation) [Q24 — ENVISION (Vision produit, périmètre, objectifs)]","Intégration de l’IA selon les phases Agile (Fréquence d'utilisation) [Q25 — SPECULATE (Planification, gestion du backlog, estimation, priorisation)]","Intégration de l’IA selon les phases Agile (Fréquence d'utilisation) [Q26 — EXPLORE (Développement, tests, assistance implémentation, détection de bugs)]","Intégration de l’IA selon les phases Agile (Fréquence d'utilisation) [Q27 — ADAPT (Revue et ajustement, analyse de performance, sprint review)]","Intégration de l’IA selon les phases Agile (Fréquence d'utilisation) [Q28 — CLOSE (Clôture, rétrospective, leçons apprises, actions d’amélioration)]",Mécanismes de création de valeur de l'IA  [Q29. L’utilisation de l’IA a un impact sur la manière dont les décisions sont prises dans nos projets Agile.],"Mécanismes de création de valeur de l'IA  [Q30. L’utilisation de l’IA a un impact sur la qualité des décisions (ex. priorisation, arbitrages).]","Mécanismes de création de valeur de l'IA  [Q31. L’utilisation de l’IA a un impact sur le volume de travail manuel (ex. reporting, synthèses, documentation).]",Mécanismes de création de valeur de l'IA  [Q32. L’utilisation de l’IA a un impact sur les activités de tests et de qualité.],Mécanismes de création de valeur de l'IA  [Q33. L’utilisation de l’IA a un impact sur la communication et la compréhension partagée au sein de l’équipe.],Mécanismes de création de valeur de l'IA  [Q34. L’utilisation de l’IA a un impact sur la visibilité de l’avancement et la coordination du travail.],"Q35. Depuis l’adoption de l’IA, la performance de livraison des sprints a :","Impacts observés depuis l'adoption de l'IA [Q36. Depuis l’adoption de l’IA, la productivité / vélocité a :]","Impacts observés depuis l'adoption de l'IA [Q37. Depuis l’adoption de l’IA, le nombre de défauts après livraison a :]","Impacts observés depuis l'adoption de l'IA [Q38. Depuis l’adoption de l’IA, la dette technique / maintenabilité a :]",Q39. L’impact global de l’IA sur le succès des projets Agile dans votre contexte est :,Q40. Quels sont les principaux défis rencontrés avec l’IA ? (max 3)
23/02/2026 13:46:08,Spécialiste Data / IA,0–2 ans,0–1 an,50–249 employés,Commerce / Retail,Privée,Agile largement déployé dans l’organisation,Île-de-France,3–5 personnes,Produit Data / IA,Souvent,2–3,3,"Ponctuel / expérimental (utilisation occasionnelle, non formalisée)",4,Fortement utilisé,Fortement utilisé,Modérément utilisé,Fortement utilisé,Modérément utilisé,Modérément utilisé,Modérément utilisé,Fortement utilisé,Parfois,Souvent,Parfois,Souvent,Parfois,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt d’accord,Neutre,Plutôt pas d’accord,Plutôt pas d’accord,4,Augmenté,Stable,Diminué,4,"Faible confiance dans les résultats IA, Manque de compétences / formation, Coût des outils, Difficulté d’intégration, Résistance au changement"
23/02/2026 14:42:08,Chef de projet / Project Manager,0–2 ans,0–1 an,1000 employés et +,Commerce / Retail,Publique,Agile limité à quelques équipes pilotes,Île-de-France,3–5 personnes,IT interne,Parfois,1,4,"Ponctuel / expérimental (utilisation occasionnelle, non formalisée)",2,Pas du tout utilisé,Faiblement utilisé,Faiblement utilisé,Pas du tout utilisé,Faiblement utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Jamais,Parfois,Parfois,Parfois,Parfois,Neutre,Plutôt pas d’accord,Pas du tout d’accord,Neutre,Neutre,Neutre,4,Fortement diminué,Fortement diminué,Fortement diminué,4,"Confidentialité / RGPD, Faible confiance dans les résultats IA, Dépendance excessive, Manque de compétences / formation"
23/02/2026 15:14:28,"Chef de projet / Project Manager, Spécialiste Data / IA",0–2 ans,0–1 an,1000 employés et +,Industrie,Privée,Agile limité à quelques équipes pilotes,Île-de-France,3–5 personnes,IT interne,Parfois,1,5,Institutionnalisée / standardisée (utilisation intégrée aux pratiques de travail),4,Modérément utilisé,Pas du tout utilisé,Modérément utilisé,Pas du tout utilisé,Faiblement utilisé,Pas du tout utilisé,Modérément utilisé,Faiblement utilisé,Rarement,Rarement,Rarement,Rarement,Rarement,Plutôt pas d’accord,Plutôt d’accord,Plutôt pas d’accord,Neutre,Plutôt d’accord,Plutôt d’accord,3,Augmenté,Diminué,Stable,5,"Confidentialité / RGPD, Dépendance excessive, Biais / équité"
23/02/2026 15:25:45,"Développeur, Spécialiste Data / IA",0–2 ans,0–1 an,1000 employés et +,Autre,Privée,Agile limité à quelques équipes pilotes,Île-de-France,3–5 personnes,IT interne,Rarement,2–3,3,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",4,Très fortement utilisé,Pas du tout utilisé,Très fortement utilisé,Très fortement utilisé,Très fortement utilisé,Très fortement utilisé,Pas du tout utilisé,Fortement utilisé,Souvent,Jamais,Très souvent,Parfois,Jamais,Plutôt d’accord,Pas du tout d’accord,Plutôt d’accord,Neutre,Tout à fait d’accord,Pas du tout d’accord,4,Fortement augmenté,Diminué,Diminué,5,"Faible confiance dans les résultats IA, Dépendance excessive, Biais / équité, Gouvernance / absence de règles, Résistance au changement"
23/02/2026 16:13:54,Développeur,0–2 ans,0–1 an,50–249 employés,IT / Logiciel,Publique,Agile adopté par plusieurs équipes,Île-de-France,6–9 personnes,Produit Data / IA,Parfois,2–3,5,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",5,Très fortement utilisé,Fortement utilisé,Très fortement utilisé,Très fortement utilisé,Très fortement utilisé,Modérément utilisé,Fortement utilisé,Modérément utilisé,Parfois,Parfois,Très souvent,Très souvent,Très souvent,Neutre,Neutre,Tout à fait d’accord,Tout à fait d’accord,Plutôt d’accord,Tout à fait d’accord,3,Stable,Diminué,Diminué,5,"Manque de compétences / formation, Biais / équité, Résistance au changement"
23/02/2026 16:21:24,Spécialiste Data / IA,0–2 ans,2–3 ans,1000 employés et +,Finance / Assurance,Semi-publique,Agile largement déployé dans l’organisation,Île-de-France,10–15 personnes,Produit Data / IA,Parfois,2–3,2,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",4,Modérément utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Fortement utilisé,Fortement utilisé,Pas du tout utilisé,Pas du tout utilisé,Jamais,Souvent,Souvent,Souvent,Souvent,Neutre,Plutôt pas d’accord,Neutre,Neutre,Neutre,Neutre,2,Stable,Stable,Stable,3,"Confidentialité / RGPD, Faible confiance dans les résultats IA, Manque de compétences / formation"
23/02/2026 16:30:38,Scrum Master,0–2 ans,2–3 ans,1000 employés et +,Autre,Privée,Agile adopté par plusieurs équipes,Île-de-France,6–9 personnes,IT interne,Rarement,1,2,"Ponctuel / expérimental (utilisation occasionnelle, non formalisée)",5,Fortement utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Très fortement utilisé,Pas du tout utilisé,Pas du tout utilisé,Pas du tout utilisé,Jamais,Jamais,Jamais,Jamais,Jamais,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Tout à fait d’accord,Pas du tout d’accord,Pas du tout d’accord,3,Stable,Stable,Stable,3,"Confidentialité / RGPD, Faible confiance dans les résultats IA, Manque de compétences / formation"
23/02/2026 17:13:35,"Chef de projet / Project Manager, QA / Test",0–2 ans,0–1 an,1000 employés et +,Télécom,Privée,Agile largement déployé dans l’organisation,Île-de-France,10–15 personnes,Développement produit,Rarement,1,1,"Ponctuel / expérimental (utilisation occasionnelle, non formalisée)",5,Modérément utilisé,Faiblement utilisé,Faiblement utilisé,Fortement utilisé,Faiblement utilisé,Pas du tout utilisé,Faiblement utilisé,Pas du tout utilisé,Rarement,Parfois,Rarement,Parfois,Rarement,Plutôt pas d’accord,Neutre,Plutôt d’accord,Neutre,Plutôt pas d’accord,Plutôt pas d’accord,3,Stable,Stable,Stable,3,"Confidentialité / RGPD, Faible confiance dans les résultats IA, Manque de compétences / formation"
25/02/2026 08:57:54,Scrum Master,3–5 ans,4–6 ans,1–49 employés,IT / Logiciel,Privée,Agile limité à quelques équipes pilotes,Île-de-France,6–9 personnes,Développement produit,Parfois,2–3,1,"Régulier mais non standardisé (utilisation fréquente, sans règles fixes)",4,Très fortement utilisé,Pas du tout utilisé,Pas du tout utilisé,Fortement utilisé,Fortement utilisé,Fortement utilisé,Pas du tout utilisé,Faiblement utilisé,Rarement,Parfois,Très souvent,Rarement,Parfois,Neutre,Plutôt d’accord,Plutôt d’accord,Tout à fait d’accord,Plutôt d’accord,Pas du tout d’accord,3,Stable,Stable,Stable,3,"Faible confiance dans les résultats IA, Dépendance excessive, Manque de compétences / formation, Sécurité, Biais / équité"
25/02/2026 09:07:16,Manager / Responsable,16 ans et +,7 ans et +,1000 employés et +,Industrie,Semi-publique,"Agile structuré via un cadre à grande échelle (SAFe, LeSS, etc.)",Multi-sites,16 personnes et +,IT interne,Parfois,2–3,1,"Ponctuel / expérimental (utilisation occasionnelle, non formalisée)",1,Faiblement utilisé,Pas du tout utilisé,Pas du tout utilisé,Faiblement utilisé,Modérément utilisé,Faiblement utilisé,Faiblement utilisé,Pas du tout utilisé,Rarement,Rarement,Jamais,Parfois,Jamais,Pas du tout d’accord,Pas du tout d’accord,Pas du tout d’accord,Pas du tout d’accord,Plutôt pas d’accord,Pas du tout d’accord,1,Diminué,Diminué,Diminué,3,"Confidentialité / RGPD, Faible confiance dans les résultats IA, Coût des outils, Difficulté d’intégration, Biais / équité, Résistance au changement"
